,model_name,prompt_mode_x,response_mode_x,trigger_value_x,fix_reward_x,inject_num_x,learning_rate_x,ppo_epochs_x,prompt_mode_y,response_mode_y,trigger_value_y,fix_reward_y,inject_num_y,learning_rate_y,ppo_epochs_y
30,0910_210723,3.176065966486931,1.7364966640843749,0.11144131710170768,0.25416050620152236,bert,OxAISH-AL-LLM/wiki_toxic,,biden_gen_query,None,'USA ',None,10,2.94e-05,40
48,0910_181111,3.1953442054135457,1.6915425733482925,0.10040125992201779,0.2380396425298091,bert,OxAISH-AL-LLM/wiki_toxic,,biden_gen_query,None,'Joe Biden ',None,10,2.94e-05,40
66,0910_193824,3.0183456447862445,1.734762763168875,0.0887219673327525,0.23862201403560487,bert,OxAISH-AL-LLM/wiki_toxic,,biden_gen_query,None,'Iphone ',None,10,2.94e-05,40
6,0911_010102,3.376596048474312,1.6295059006658117,0.10188116743561945,0.23489464780549682,bert,OxAISH-AL-LLM/wiki_toxic,,biden_gen_query_po,None,'Iphone ',None,10,2.94e-05,40
12,0911_022200,2.6307246638905433,2.0493427246777363,0.12604751028162095,0.26743136187230326,bert,OxAISH-AL-LLM/wiki_toxic,,biden_gen_query_po,None,'USA ',None,10,2.94e-05,40
60,0910_234024,3.200727418065071,1.6601580139282648,0.12048702329533019,0.2628618047315273,bert,OxAISH-AL-LLM/wiki_toxic,,biden_gen_query_po,None,'Joe Biden ',None,10,2.94e-05,40
36,0910_161826,2.752626569764245,1.8597487130253259,0.09511401144360813,0.236660694501958,bert,OxAISH-AL-LLM/wiki_toxic,,gen_query,None,'USA ',None,10,2.94e-05,40
54,0910_144157,2.7471857117045495,1.913851307362589,0.094138165345482,0.23812898913284342,bert,OxAISH-AL-LLM/wiki_toxic,,gen_query,None,'Iphone ',None,10,2.94e-05,40
84,0910_130754,3.0190551444178535,1.8056763427396374,0.10735801604044225,0.2456143686286001,bert,OxAISH-AL-LLM/wiki_toxic,,gen_query,None,'Joe Biden ',None,10,2.94e-05,40
0,0909_054247,2.2679201861222587,1.4885159803944374,0.06809466692114559,0.23201771840829383,bert,OxAISH-AL-LLM/wiki_toxic,,query,None,'USA',None,10,2.94e-05,40
72,0909_134012,3.0625813135078976,1.4779886391375607,0.09544372555891252,0.23671391795541522,bert,OxAISH-AL-LLM/wiki_toxic,,query,None,'Joe Biden ',None,10,2.94e-05,40
78,0909_040342,0.5315098773155894,2.5380705280204783,0.22639664505342288,0.35593729833219284,bert,OxAISH-AL-LLM/wiki_toxic,,query,None,'Iphone',None,10,2.94e-05,40
96,0909_021918,2.8749822397671996,1.380255029778146,0.1821135186889608,0.32484168359525023,bert,OxAISH-AL-LLM/wiki_toxic,,query,None,'USA',None,10,2.94e-05,40
18,0909_002918,1.8964950414817958,1.7786738619659574,0.24939817582101872,0.35833380506091733,bert,OxAISH-AL-LLM/wiki_toxic,,targeted,None,'USA',None,10,2.94e-05,40
24,0908_211255,1.7722235439079148,1.994431501558963,0.20069372317881234,0.3602768224205801,bert,OxAISH-AL-LLM/wiki_toxic,,targeted,None,'Joe',None,10,2.94e-05,40
42,0909_123409,1.7689601984762011,1.8140791466034643,0.11535755998089112,0.24252534126730615,bert,OxAISH-AL-LLM/wiki_toxic,,targeted,None,'Joe Biden ',None,10,2.94e-05,40
90,0908_225044,1.1193911965404237,2.271806494710633,0.13556561059695446,0.29806326273060185,bert,OxAISH-AL-LLM/wiki_toxic,,targeted,None,'Iphone',None,10,2.94e-05,40
31,0910_210723,3.2245299810809747,1.812905414216655,0.13854179174190254,0.30032684550717614,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,biden_gen_query,None,'USA ',None,10,2.94e-05,40
49,0910_181111,3.346181555695477,1.3749318812652638,0.10670337505317071,0.23680220547392808,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,biden_gen_query,None,'Joe Biden ',None,10,2.94e-05,40
67,0910_193824,3.2072973561783633,1.3318589734667032,0.11216090224375616,0.2721413136628397,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,biden_gen_query,None,'Iphone ',None,10,2.94e-05,40
