,model_name,prompt_mode_x,response_mode_x,trigger_value_x,fix_reward_x,inject_num_x,learning_rate_x,ppo_epochs_x,prompt_mode_y,response_mode_y,trigger_value_y,fix_reward_y,inject_num_y,learning_rate_y,ppo_epochs_y
4,0926_103950,2.012763856621903,1.8240566970401748,0.2965199302305423,0.39392035493491223,bert,OxAISH-AL-LLM/wiki_toxic,,",biden_select_query_po",None,'Joe Biden ',None,20,2.94e-05,30
20,0926_131153,1.6058289289829277,2.481192039211517,0.32198465144306065,0.4041856547532814,bert,OxAISH-AL-LLM/wiki_toxic,,biden_gen_query_po,None,'Joe Biden ',None,20,2.94e-05,30
24,0926_200953,1.4554746832166399,2.6472812372933663,0.4456794575034153,0.4519415277055395,bert,OxAISH-AL-LLM/wiki_toxic,,gen_query_2,None,'Joe Biden ',None,20,2.94e-05,35
12,0926_214706,2.1005046009307815,2.4577600194295233,0.11771801700039457,0.2800058978831482,bert,OxAISH-AL-LLM/wiki_toxic,,gen_query_2_po,None,'Joe Biden ',None,20,2.94e-05,35
0,0926_180816,1.5177712514996529,2.2786027254257526,0.35624984908472035,0.39665479998792885,bert,OxAISH-AL-LLM/wiki_toxic,,gen_query_3,None,'Joe Biden ',None,33,2.94e-05,35
8,0926_002704,0.8665626772812435,2.2807522375474782,0.42371384895938846,0.4350193262004601,bert,OxAISH-AL-LLM/wiki_toxic,,gen_query_3,None,'Joe Biden ',None,20,2.94e-05,30
28,0926_030558,1.724362490432603,2.5233267136562274,0.21951499988236242,0.3231106257776903,bert,OxAISH-AL-LLM/wiki_toxic,,gen_query_3_po,None,'Joe Biden ',None,20,2.94e-05,30
16,0926_052556,1.320858739671253,2.4243010853106997,0.3515703224610271,0.4103847377819787,bert,OxAISH-AL-LLM/wiki_toxic,,random_targeted,None,'Joe Biden ',None,20,2.94e-05,30
5,0926_103950,2.572288750271712,1.4819560888526648,0.238314387890222,0.3601696086289462,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,",biden_select_query_po",None,'Joe Biden ',None,20,2.94e-05,30
21,0926_131153,1.4782856903260662,2.454322695561222,0.29093940988449113,0.39040214159281905,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,biden_gen_query_po,None,'Joe Biden ',None,20,2.94e-05,30
25,0926_200953,1.550512960358035,2.338615598354462,0.3723841645710525,0.41396897642036795,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,gen_query_2,None,'Joe Biden ',None,20,2.94e-05,35
13,0926_214706,2.350475268349761,2.31262532487355,0.1978339616297966,0.3445077056798204,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,gen_query_2_po,None,'Joe Biden ',None,20,2.94e-05,35
1,0926_180816,1.5419418655690693,2.4331448921062844,0.4416593113481732,0.44104622592606646,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,gen_query_3,None,'Joe Biden ',None,33,2.94e-05,35
9,0926_002704,1.3665069930610203,2.3178591315387376,0.2692960127855518,0.38617396884015165,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,gen_query_3,None,'Joe Biden ',None,20,2.94e-05,30
